,file,urls,proc_pid,udp,tcp,hosts,requests,domains,pid,process_name,ppid,file_created,dll_loaded,regkey_opened,command_line,regkey_read,regkey_written
3,N/A,N/A,N/A,"{'src': '192.168.56.50', 'dst': '224.0.0.252', 'offset': 5628643, 'time': 3.253201961517334, 'dport': 5355, 'sport': 52403}","{'src': '192.168.56.50', 'dst': '13.107.4.52', 'offset': 15219, 'time': 1.387134075164795, 'dport': 80, 'sport': 49671}",13.107.4.52,slscr.update.microsoft.com,"{'ip': '52.255.188.83', 'domain': 'watson.telemetry.microsoft.com'}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,N/A,N/A,N/A,"{'src': '192.168.56.50', 'dst': '224.0.0.252', 'offset': 5628825, 'time': 1.2487518787384033, 'dport': 5355, 'sport': 52598}","{'src': '192.168.56.50', 'dst': '13.32.86.50', 'offset': 16638, 'time': 59.350656032562256, 'dport': 443, 'sport': 49725}",13.32.86.50,www.bing.com,"{'ip': '192.16.48.200', 'domain': 'iecvlist.microsoft.com'}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,N/A,N/A,N/A,"{'src': '192.168.56.50', 'dst': '239.255.255.250', 'offset': 5667024, 'time': 48.84876894950867, 'dport': 1900, 'sport': 62142}","{'src': '192.168.56.50', 'dst': '13.64.90.137', 'offset': 4278938, 'time': 57.56298589706421, 'dport': 443, 'sport': 49722}",13.64.90.137,pti.store.microsoft.com,"{'ip': '52.191.219.104', 'domain': 'settings-win.data.microsoft.com'}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,N/A,N/A,N/A,"{'src': '192.168.56.50', 'dst': '8.8.8.8', 'offset': 6398865, 'time': 48.93782901763916, 'dport': 53, 'sport': 49317}","{'src': '192.168.56.50', 'dst': '142.250.64.142', 'offset': 4292278, 'time': 56.62090301513672, 'dport': 443, 'sport': 49720}",142.250.64.142,client.wns.windows.com,"{'ip': '204.79.197.200', 'domain': 'www.bing.com'}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7,N/A,N/A,N/A,"{'src': '192.168.56.50', 'dst': '8.8.8.8', 'offset': 6399075, 'time': 0.15647196769714355, 'dport': 53, 'sport': 49544}","{'src': '192.168.56.50', 'dst': '172.217.3.131', 'offset': 4299899, 'time': 49.30365800857544, 'dport': 443, 'sport': 49714}",186.47.206.153,updates.bravesoftware.com,"{'ip': '20.190.3.175', 'domain': 'slscr.update.microsoft.com'}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8,N/A,N/A,N/A,"{'src': '192.168.56.50', 'dst': '8.8.8.8', 'offset': 6399371, 'time': 27.860167980194092, 'dport': 53, 'sport': 50016}","{'src': '192.168.56.50', 'dst': '172.217.3.131', 'offset': 4307757, 'time': 113.74421906471252, 'dport': 443, 'sport': 49745}",192.16.48.200,clients2.google.com,"{'ip': '13.32.86.122', 'domain': 'updates-cdn.bravesoftware.com'}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9,N/A,N/A,N/A,"{'src': '192.168.56.50', 'dst': '8.8.8.8', 'offset': 6399691, 'time': 56.95767402648926, 'dport': 53, 'sport': 50468}","{'src': '192.168.56.50', 'dst': '186.47.206.153', 'offset': 4320493, 'time': 5.718242883682251, 'dport': 80, 'sport': 49677}",192.16.58.8,settings-win.data.microsoft.com,"{'ip': '20.54.24.231', 'domain': 'geo.prod.do.dsp.mp.microsoft.com'}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10,N/A,N/A,N/A,"{'src': '192.168.56.50', 'dst': '8.8.8.8', 'offset': 6400011, 'time': 0.20671796798706055, 'dport': 53, 'sport': 50711}","{'src': '192.168.56.50', 'dst': '186.47.206.153', 'offset': 4327141, 'time': 6.563149929046631, 'dport': 80, 'sport': 49678}",204.79.197.200,update.googleapis.com,"{'ip': '192.16.58.8', 'domain': 'ocsp.digicert.com'}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11,N/A,N/A,N/A,"{'src': '192.168.56.50', 'dst': '8.8.8.8', 'offset': 6400289, 'time': 93.73277807235718, 'dport': 53, 'sport': 51069}","{'src': '192.168.56.50', 'dst': '186.47.206.153', 'offset': 4328417, 'time': 7.645540952682495, 'dport': 80, 'sport': 49680}",23.14.81.129,watson.telemetry.microsoft.com,"{'ip': '13.107.246.10', 'domain': 'pti.store.microsoft.com'}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12,N/A,N/A,N/A,"{'src': '192.168.56.50', 'dst': '8.8.8.8', 'offset': 6400566, 'time': 66.9799370765686, 'dport': 53, 'sport': 51608}","{'src': '192.168.56.50', 'dst': '192.16.48.200', 'offset': 4329939, 'time': 2.902316093444824, 'dport': 443, 'sport': 49672}",23.37.72.19,iecvlist.microsoft.com,"{'ip': '40.64.101.146', 'domain': 'displaycatalog.mp.microsoft.com'}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
